"","x"
"1",-0.178029222589137
"2",-0.404252389956171
"3",0.099291137317817
"4",0
"5",-0.26264981010408
"6",0.215031209180692
"7",0
"8",-0.530589472069449
"9",0.179993774876229
"10",-0.257085700074509
"11",-0.162179368688372
"12",0.0320813482362467
"13",0.285168068629494
"14",0.343032284458512
"15",-0.539502612480211
"16",-0.51023322023178
"17",-0.972861299651853
"18",0.137515444575332
"19",-0.0957021960472879
"20",0.0918909029212653
"21",NA
"22",-0.0448312652372425
"23",-0.178832677134828
"24",-0.201028300931854
"25",-0.585304822026927
"26",-0.149789320596281
"27",-0.848574171125735
"28",-0.745518815490306
"29",0.0528191249647616
"30",0.126531628452925
"31",0.182584949723154
"32",-0.763071672813671
"33",NA
"34",0.398096738526214
"35",0.415082421664957
"36",0.471396858873677
"37",-0.170187797827271
"38",0.0149591713228803
"39",-1
"40",-0.463888248289522
"41",0.58318623976568
"42",-0.688094424552402
"43",-1
"44",0.364059814881932
"45",NA
"46",0.0522434136617703
"47",0.404335667558455
"48",-0.0530714033846342
"49",-0.509632422817086
"50",-1
"51",-0.133221175743639
"52",-0.678284909985264
"53",0
"54",0.402494177265835
"55",-0.487327835891254
"56",0.113063119085518
"57",-0.3236755347219
"58",0
"59",-0.242666636516351
"60",-0.249080475445754
"61",0.238567245223246
"62",0
"63",0
"64",0.165841330606653
"65",0.63563370795487
"66",-0.481436169960651
"67",0.530643339957996
"68",0.904281872250906
"69",0.255831670312711
"70",0.979959272122421
"71",0.238818994446506
"72",0
"73",0.970470256266302
"74",-0.2178177471178
"75",-0.0227721083155707
"76",NA
"77",-0.289033543102992
"78",-0.358657719598704
"79",-0.20707575176473
"80",NA
"81",0.0832618534231263
"82",0.634473889812454
"83",-0.211795502607167
"84",-0.0518905857506353
"85",0.27450082890103
"86",-0.762912004891274
"87",1
"88",-0.126785858655145
"89",NA
"90",0.836452641237473
"91",1
"92",-0.0420688574124845
"93",1
"94",0
"95",0.50341098224595
"96",-0.488452922916107
"97",0.374829171799282
"98",0.469109223139723
"99",1
"100",0.0795577159943277
"101",-0.71024045724207
"102",0.00747961066717938
"103",-0.108310884826033
"104",0
"105",-1
"106",-0.131720136304844
"107",-0.146734157009176
"108",0.158109789863682
"109",-0.343923131367225
"110",-1
"111",0
"112",0
"113",0.0997062025314264
"114",0.768268190798904
"115",0
"116",0
"117",NA
"118",0
"119",0
"120",-0.381330259614973
"121",-0.103793858442371
"122",NA
"123",0.0872361266033063
"124",0.150951936298183
"125",0.641296060207037
"126",0.725935329767423
"127",0.927243512260727
"128",-0.30449675744369
"129",-0.24265884802446
"130",-0.685485686642384
"131",0
"132",-0.124150742865697
"133",0.217644433395661
"134",0.626369641530785
"135",0.310633489672463
"136",0.245285075604185
"137",-0.0323521014551258
"138",-0.436724075935975
"139",0.0133599034212668
"140",0.269406946566717
"141",NA
"142",0.779976433747108
"143",0.436298318675732
"144",0.485589836627456
"145",1
"146",1
"147",-0.491734356276862
"148",0.100220617197731
"149",-0.201314443747894
"150",0.834371824631871
"151",0.0675224729722632
"152",0.471743435755489
"153",NA
"154",0.0447401692611677
"155",0.369945841361101
"156",NA
"157",-0.167445856918726
"158",0.728702920473527
"159",0.960359178959316
"160",-0.59880641043182
"161",-0.165962461233851
"162",0.25150053727728
"163",0.156180455981851
"164",0.583790272616543
"165",0.525030927127049
"166",0.319865210525576
"167",0.708727190868748
"168",-0.034197358978656
"169",0.808785100740827
"170",0.579171169660724
"171",1
"172",0.773164147417822
"173",0.447136965950988
"174",0.723894167126187
"175",-0.261031858503725
"176",-1
"177",-0.517180514700615
"178",0.536290416896139
"179",0.221417039420817
"180",0.0989145770644618
